TargetName  CCA004	CIC007	CMV008	CST005	CUM009	DDI103	DKE111	DMA102	DPE106	DTM108	SBF008	SBS002	SCB003	SNG010	SWA009
ath-miR159a	17.714	NA	16.757	NA	17.542	18.507	19.247	16.885	18.277	18.485	17.587	18.61	19.194	38.549	16.456
hsa-let-7b	24.81	30.075	28.559	27.068	30.563	28.771	38.668	32.947	38.175	32.818	31.215	31.613	32.698	30.046	26.661
hsa-let-7c	25.743	28.796	30.069	28.093	29.411	30.288	NA	33.51	35.404	NA	28.589	29.157	32.232	30.265	28.443
hsa-miR-100	23.592	29.223	31.94	25.916	30.091	33.698	32.367	30.01	30.574	NA	28.316	25.935	30.547	26.828	24.588
hsa-miR-106a	21.758	20.091	19.742	19.386	21.383	16.57	21.692	18.852	18.954	19.376	19.142	19.231	24.752	20.845	18.87
hsa-miR-106b	27.963	28.415	29.145	27.513	31.048	33.126	33.043	29.766	30.216	30.67	30.218	28.465	33.562	28.357	27.849
hsa-miR-125b	21.753	25.74	26.362	23.664	26.4	27.444	28.157	28.142	31.682	29.366	21.759	25.874	28.081	25.973	23.953
hsa-miR-126	28.315	31.779	33.468	31.22	NA	NA	38.064	35.397	NA	32.533	30.218	33.644	32.27	NA	28.242
hsa-miR-127	28.947	29.183	32.388	29.173	36.203	NA	37.48	34.152	35.708	36.497	32.602	30.201	NA	30.66	31.166
hsa-miR-130a	24.525	28.388	28.918	26.002	29.539	29.852	NA	29.619	31.832	31.2	29.881	33.162	33.671	29.419	27.106
hsa-miR-130b	28.043	29.278	30.836	33.269	37.106	33.806	NA	36.525	36.172	38.507	35.66	NA	NA	31.461	30.502
hsa-miR-133a	32.157	NA	29.133	30.547	NA	33.034	31.795	33.314	34.51	31.01	NA	28.368	NA	29.198	30.219
hsa-miR-138	32.352	33.424	NA	32.889	34.282	33.76	NA	NA	NA	NA	34.207	34.862	NA	33.441	33.476
hsa-miR-142-3p	NA	32.227	31.408	32.218	32.04	NA	32.418	NA	32.066	NA	31.057	NA	33.916	NA	NA
hsa-miR-143	29.492	31.021	25.186	28.195	NA	NA	34.475	28.44	34.639	NA	NA	25.154	31.12	26.522	29.107
hsa-miR-145	29.81	32.972	28.65	34.181	34.415	38.306	NA	32.428	NA	35.86	36.112	29.828	35.49	32.806	30.121
hsa-miR-146a	22.379	29.496	30.237	29.647	31.673	32.156	33.535	30.576	31.311	33.308	29.968	30.98	31.096	28.446	27.968
hsa-miR-147	30.508	28.814	29.866	27.734	28.139	29.599	31.225	28.089	29.124	25.438	28.533	28.364	37.733	28.48	29.056
hsa-miR-148a	25.369	34.085	25.93	27.941	29.821	22.697	23.851	30.17	21.604	20.983	34.82	31.321	NA	30.268	22.711
hsa-miR-150	28.346	27.851	28.873	27.503	27.171	29.271	30.927	26.941	28.551	27.204	28.081	27.83	30.391	27.677	26.464
