"Sample"	"Detector"	"Cq"
"1"	"CCA004"	"ath-miR159a"	"17.714"
"2"	"CCA004"	"hsa-let-7b"	"24.81"
"3"	"CCA004"	"hsa-let-7c"	"25.743"
"4"	"CCA004"	"hsa-miR-100"	"23.592"
"5"	"CCA004"	"hsa-miR-106a"	"21.758"
"6"	"CCA004"	"hsa-miR-106b"	"27.963"
"7"	"CCA004"	"hsa-miR-125b"	"21.753"
"8"	"CCA004"	"hsa-miR-126"	"28.315"
"9"	"CCA004"	"hsa-miR-127"	"28.947"
"10"	"CCA004"	"hsa-miR-130a"	"24.525"
"11"	"CCA004"	"hsa-miR-130b"	"28.043"
"12"	"CCA004"	"hsa-miR-133a"	"32.157"
"13"	"CCA004"	"hsa-miR-138"	"32.352"
"14"	"CCA004"	"hsa-miR-142-3p"	NA
"15"	"CCA004"	"hsa-miR-143"	"29.492"
"16"	"CCA004"	"hsa-miR-145"	"29.81"
"17"	"CCA004"	"hsa-miR-146a"	"22.379"
"18"	"CCA004"	"hsa-miR-147"	"30.508"
"19"	"CCA004"	"hsa-miR-148a"	"25.369"
"20"	"CCA004"	"hsa-miR-150"	"28.346"
"21"	"CCA004"	"hsa-miR-152"	"27.089"
"22"	"CCA004"	"hsa-miR-155"	"17.783"
"23"	"CCA004"	"hsa-miR-15a"	"26.452"
"24"	"CCA004"	"hsa-miR-15b"	"28.838"
"25"	"CCA004"	"hsa-miR-16"	"26.744"
"26"	"CCA004"	"hsa-miR-181a"	"29.518"
"27"	"CCA004"	"hsa-miR-184"	"20.671"
"28"	"CCA004"	"hsa-miR-186"	"27.024"
"29"	"CCA004"	"hsa-miR-191"	"25.52"
"30"	"CCA004"	"hsa-miR-192"	"28.981"
"31"	"CCA004"	"hsa-miR-193a-5p"	"26.25"
"32"	"CCA004"	"hsa-miR-193b"	"23.6"
"33"	"CCA004"	"hsa-miR-194"	"17.68"
"34"	"CCA004"	"hsa-miR-195"	"25.222"
"35"	"CCA004"	"hsa-miR-197"	"24.537"
"36"	"CCA004"	"hsa-miR-199a-3p"	"25.9"
"37"	"CCA004"	"hsa-miR-19a"	"26.479"
"38"	"CCA004"	"hsa-miR-19b"	"22.971"
"39"	"CCA004"	"hsa-miR-200b"	"28.12"
"40"	"CCA004"	"hsa-miR-200c"	"26.52"
"41"	"CCA004"	"hsa-miR-202"	"30.26"
"42"	"CCA004"	"hsa-miR-203"	"25.363"
"43"	"CCA004"	"hsa-miR-204"	"21.367"
"44"	"CCA004"	"hsa-miR-20a"	"25.443"
"45"	"CCA004"	"hsa-miR-20b"	"30.061"
"46"	"CCA004"	"hsa-miR-21"	"22.206"
